num_downloads,day,pack_name,avg10,avg20,avg30
10020,2019-01-23,beautifulsoup,9207.5,8877.9,8615.133333333333
9826,2019-01-22,beautifulsoup,8771.1,8976.8,8490.766666666666
8929,2019-01-21,beautifulsoup,8378.8,9112.35,8330.433333333332
5350,2019-01-20,beautifulsoup,8532.6,8981.35,8214.1
5777,2019-01-19,beautifulsoup,9040.6,9080.05,8328.933333333332
10067,2019-01-18,beautifulsoup,9506.3,9114.65,8460.366666666667
10394,2019-01-17,beautifulsoup,9551.2,8937.9,8447.666666666666
10673,2019-01-16,beautifulsoup,9622.7,8826.75,8447.933333333332
10597,2019-01-15,beautifulsoup,9121.5,8714.7,8449.733333333334
10442,2019-01-14,beautifulsoup,8664.5,8555.55,8297.733333333334
5656,2019-01-13,beautifulsoup,8548.3,8318.95,8156.5
5903,2019-01-12,beautifulsoup,9182.5,8350.6,8294.5
10467,2019-01-11,beautifulsoup,9845.9,8306.25,8430.833333333334
10430,2019-01-10,beautifulsoup,9430.1,8054.85,8411.233333333334
10434,2019-01-09,beautifulsoup,9119.5,7973.1,8551.833333333334
10516,2019-01-08,beautifulsoup,8723.0,7937.4,8819.866666666667
11109,2019-01-07,beautifulsoup,8324.6,7895.9,8946.066666666668
5661,2019-01-06,beautifulsoup,8030.8,7860.55,9057.633333333333
6027,2019-01-05,beautifulsoup,8307.9,8113.85,9585.1
9280,2019-01-04,beautifulsoup,8446.6,8114.35,10636.766666666666
11998,2019-01-03,beautifulsoup,8089.6,7960.6,11466.733333333334
12537,2019-01-02,beautifulsoup,7518.7,7850.5,11484.633333333333
6309,2019-01-01,beautifulsoup,6766.6,7723.3,11480.266666666666
7324,2018-12-31,beautifulsoup,6679.6,7901.8,11529.3
6469,2018-12-30,beautifulsoup,6826.7,8268.0,11530.566666666668
6532,2018-12-29,beautifulsoup,7151.8,8868.3,11690.566666666668
8171,2018-12-28,beautifulsoup,7467.2,9256.8,11875.633333333333
8432,2018-12-27,beautifulsoup,7690.3,9571.05,11998.366666666667
7414,2018-12-26,beautifulsoup,7919.8,10223.7,12157.2
5710,2018-12-25,beautifulsoup,7782.1,11731.85,12305.366666666667
6289,2018-12-24,beautifulsoup,7831.6,13155.3,12365.666666666666
5016,2018-12-23,beautifulsoup,8182.3,13467.6,12442.166666666666
5439,2018-12-22,beautifulsoup,8680.0,13837.1,12606.4
8795,2018-12-21,beautifulsoup,9124.0,13954.15,12801.166666666666
9720,2018-12-20,beautifulsoup,9709.3,13882.5,12939.8
9686,2018-12-19,beautifulsoup,10584.8,13959.95,13029.5
10402,2018-12-18,beautifulsoup,11046.4,14079.85,13102.833333333334
10727,2018-12-17,beautifulsoup,11451.8,14152.4,13033.266666666666
6037,2018-12-16,beautifulsoup,12527.6,14275.9,12945.5
6205,2018-12-15,beautifulsoup,15681.6,14567.0,13141.7
9796,2018-12-14,beautifulsoup,18479.0,14632.7,13331.7
9993,2018-12-13,beautifulsoup,18752.9,14572.1,13397.5
9879,2018-12-12,beautifulsoup,18994.2,14569.6,13469.5
14648,2018-12-11,beautifulsoup,18784.3,14639.75,13512.9
18475,2018-12-10,beautifulsoup,18055.7,14555.05,13273.466666666667
14302,2018-12-09,beautifulsoup,17335.1,14251.85,12920.133333333333
14456,2018-12-08,beautifulsoup,17113.3,14131.05,12817.2
21485,2018-12-07,beautifulsoup,16853.0,13824.0,12761.9
37577,2018-12-06,beautifulsoup,16024.2,13154.45,12422.1
34179,2018-12-05,beautifulsoup,13452.4,11871.75,11546.7
12535,2018-12-04,beautifulsoup,10786.4,10758.05,10769.866666666667
12406,2018-12-03,beautifulsoup,10391.3,10719.8,10585.466666666667
7780,2018-12-02,beautifulsoup,10145.0,10707.15,10401.8
7362,2018-12-01,beautifulsoup,10495.2,10877.2,10490.366666666667
11269,2018-11-30,beautifulsoup,11054.4,10882.35,10583.366666666667
12084,2018-11-29,beautifulsoup,11168.6,10712.65,10580.7
11853,2018-11-28,beautifulsoup,11148.8,10669.15,10575.8
13197,2018-11-27,beautifulsoup,10795.0,10716.35,10507.933333333332
11859,2018-11-26,beautifulsoup,10284.7,10621.05,10240.0
7519,2018-11-25,beautifulsoup,10291.1,10593.85,10042.566666666668
8584,2018-11-24,beautifulsoup,10729.7,10761.6,10097.733333333334
9943,2018-11-23,beautifulsoup,11048.3,10682.55,9987.5
11282,2018-11-22,beautifulsoup,11269.3,10530.2,10062.933333333332
12954,2018-11-21,beautifulsoup,11259.2,10487.95,10010.6
12411,2018-11-20,beautifulsoup,10710.3,10347.85,9868.766666666666
11886,2018-11-19,beautifulsoup,10256.7,10286.75,9583.166666666666
8315,2018-11-18,beautifulsoup,10189.5,10289.3,9340.566666666668
8094,2018-11-17,beautifulsoup,10637.7,10364.4,9349.9
11923,2018-11-16,beautifulsoup,10957.4,10217.65,9371.466666666667
11905,2018-11-15,beautifulsoup,10896.6,9918.3,9267.033333333333
11770,2018-11-14,beautifulsoup,10793.5,9781.75,9195.933333333332
